gloss_en,gloss_pt,ndb_rc_m05,ndb_rn_m05,ndb_rc_eppsob,daw_eppsob,daw_m05,hup_ramepps,hup_m05,yhp_silva,yhp_m05
tail,Cauda,dɔ̃m,nɔ̃m,dõm,dubm,dubm,ndʼúbm,dʼṵbm,nduubm,dʼṵbm
horn,Chifre,ʃã̰:n,ʃã̰:n,,ʃã̂n’,ʃã̰̌:nʔ,sànʔ,cã̰̌:nʔ,,cã̰̂:nʔ
skin,Couro ou pele,bɨ:h,bɨ:h,bɨ:h,bɨk,bɨk,,,,
fat; grease,Gordura 1,,,,nɛ̃g,nɛ̃g,,nã̌:ŋ,nag,nã̌:ŋ
aracari (small toucan) (Pteroglossus sp.),Araçari,jʌ:b,,,jâb,jâ b,,,,jâ:bm
macaw (Ara macao),Araraçanga 1,,,,,,yàk,jǎ:k ,yák,jǎ:k 
macaw (Ara macao),Araraçanga 2,kʼaʔɾo:ʔ,kʼaɾu:h,,kǎl’,kʼa lʔ,,,,
hummingbird (familia dos troquilideos),Beija-flor 1,cʼi:p,cʼi:p,,,,,,,
hummingbird (familia dos troquilideos),Beija-flor 2,,,,ʃug,ʃug,súgŋ,cu:gŋ,sug,cǔ:gŋ
owl (genero otus),Coruja 1,,,,wěw’,,pәpә́p,pәpәp,pәpәp,pәpә̌:p
owl (genero otus),Coruja 2,wo̰:ɾə,wo̰:ɾə,wʼo:ɾ,,,,,,
piping guan,Cujubim (Pipile sp.),kajṵ:j,kajṵ:j,,xujǔj’,xujǔ:j ʔ,,,,
egret (familia dos ardeideos),Garca,,,,mboh,moh,mboh ówʔ,boh owʔ,,
thick-billed euphonia (Euphonia laniirostris),Gaturamo,,,,,cʼubm,,cʼǔ:bm,suúbm,cʔǔ:bm
harpy eagle?; hawk (Harpia harpyja),Gaviao-real,wi:ʔ,wi:h,wa wi:,wǐh,wǐ h,wih pògŋ,wǐh pǒg,wíh,wîh
Spix’s guan (Penelope jacquacu),Jacu,jә̰:j,jə̰:j,,jěʃ,jěʃ,,jěc,,jěc
japu (Psarocolius sp.) [Gymnostinops is outdated name] (Gymnostinops,Japu-do-bico-encarnado,dṵb,do̰:b,,dǒp,dǒ:p,ndʼóp,dʼǒ̰:p,ndoop,dʼô̰:p
blue-headed parrot (Pionus menstruus),Maitaca,du:ʃ,du:ʃ,,dǔc,dǔ:ic,ndʼùs,dʼṵ̂:ic,,dʼṵ̌:ʲɟ
white-throated tinamou (Tinamus guttatus),Nambu-galinha,ho̰:h,ho̰:h,,mɔ̃hǒh,hǒ:h,mᴐhhòh,mɔ̃hǒ:h,,
great tinamou (Tinamus major),Nambu-grande,,,,mɔ̃̂,mɔ̂̃:,mᴐ̀h,mɔ̃̌:h,mᴐ́h,mɔ̃̂:h
mealy parrot (Amazona farinosa),Papagaio-moleira,cʼɔj,cʼɔj,,cɔj,cʼɔj,,cʼɔ̰jʔ,sᴐᴐy’,cʼɔ̰jʔ
dove (Columba cayennensis),Pomba-galega,wawɛ̃hɛ̃h,,,wɛ̃h,wɛ̃h,,wɛ̃ç,wɛ̃h,wɛ̃h
moriche oriole (Icterus chrysocephalus),Rouxinol,,cʼu: b,,ʃǐp,cʼû: b,,,,
toucan (Ramphastos sp.),Tucano,ʃoked ʃaked ʃuked,ʃaked,suked,cokwet,cʼokʼwet,sᴐkwʼә́t,cokw̰әt,sᴐkәt,cɔhkәt
vulture (Coragyps atratus),Urubu,wә:h,wә:h,,waʔ,waʔ,wã́ʔ,wãʔ,,wãʔ
nocturnal currasow (Nothocrax urumutum),Urumutum,,,,tǔdn,tǔ:dn,mᴐytùdn,mɔ̃jtǔ:dn,mᴐytudn,mɔ̃jtǔ:dn
nest,Ninho,mã:g,mã:g,,mbeʔ,,,,,
egg,Ovo,ʔetɨ:p tɨb,tɨb,tɨb,tɨ̌p,tɨ̌:b,tip,tǐ:p,típ,tî:p
yellow,Amarelo,ʃawʌ̰:k,ʔawa̰:kŋ,,,,,,,
blue; green,Azul; verde,jabaɾǔ: t ,maɾu: t ,jabaɾu:t,,,,,,
white,Branco 1,hawak ,hawakŋ,hawak,,,,,,
white,Branco 2,,,,hô,hô:,tohó,tohoh,,tohoh
red,Vermelho 1,,,,ndô,nô:,,ndô:,,
red,Vermelho 2,hi:dn,hi:ɟɲ,hahi:dn,,,,,,hě:ɟɲ
shrimp,Camarão,ʃә:ʔ,ʃɨ:ʔ,sә:,ʃoʔ,ʃoʔ,sәʔ,cәʔ,sәsә’,cәcәʔ
crab (gen. Trichodactylus),Caranguejo,cʼahʌ:bm,cʼʌhʌ:bm,,xâbm,xâ:bm,,,,
crab (gen. Trichodactylus)­­,Caranguejo,,,,,,sᴐhᴐ́,ʃɔhɔ̂:,,cɔhɔ̌:h
crab (gen. Trichodactylus),Caranguejo,,,,,,,cɔ̃hõ̌:m,,cɔ̃hõ̂:m
diarrhea,Diarreia,,,,jǒh,,NF,cuɟɲ,NF,cuɟɲ
wound (causada por corte),Ferida 1,,,,ndɔh,nɔ:h,NF,,ndᴐᴐh,ndɔ̌:h
wound,Ferida 2,,,,xɔbm,xɔ̃m,hᴐ́m,hɔ̃m,NF,hɔ̃m
nematode (roundworm) (Ascaris lumbricoides),Lombriga,ʃɔ:d,ʃɔ:d,,ʃɔ̌t,ʃɔ:t,NF,,NF,
medicine,Remedio,,,,jɔ̃̌h,j̃ɔ̃̌:h,yᴐ̃̀h,j̃ɔ̃̌:h,yᴐ̃h,ɲɔ̃̌:h
measles,Sarampo,,,,,,páb’,pab,pamʔ,pǎ:b
lower,Abaixar,hɨgŋ hɨ:h,hɨgŋ,hɨgŋ hɨ:h,xɨ̂,xɨ̂:,hí,hî:,hi,hi
lower,Abanar,hәbm,,,hem’,hebmʔ,héb́,hebmʔ,hemʔ,hɛbmʔ
open,Abrir 1,,,,poʔ,poʔ,póʔ,poʔ,po’,poʔ
open,Abrir 2,je:ɟɲ jḛ:j,,,jǐc,jɛɟ,,,,
finish,Acabar 1,ʔahʌj ʔahә:j,ʔahʌj,,,,,,NF,
finish,Acabar 2,,,,hũʔ,hũʔ,hū̃̃́ʔ,hũʔ,hũ’,hũʔ
finish,Acabar 3,jã:m,jã:m,,jɛ̃̂m,jɛ̃̂:m,NF,,NF,
light (fire),Acender 1,,,atә:,təʔ,tәʔ,tәʔ,tәʔ,tә’,tәʔ
light (fire),Acender 2,tagŋ ta:h,ta:h,,,,tә́ʔ,,ta:ʔ,
mix; stir,Agitar 1,,,,wɔ̃n’,,NF,w̃ɔ̃nʔ,NF,w̃ɔ̃nʔ
mix; stir,Agitar 2,,kaw̃ɔ̃j̃,,,,NF,,mihwᴐ̃ç,mĩhw̃ɔ̃j̃
help,Ajudar 1,,,,,,hi tám,tã̂:m,,tãm
help,Ajudar 2,ʔmãʃaʔ ʔmaʃa:ʔ,ʔmẽʃa:h,,,,NC ,,NC,
drown,Alagar; inundar,   kʼɨ̰:p kʼɨ̰:b,kʼɨ̰:b,,kɨ̂bm,kʼɨ̃̂:m,k’ɨ́m,kʼɨ̃̂:m,NF,
smooth,Alisar,hawә:k,hawʌg,,,,NC,hәk,NC,
love; be stingy,Amar; souvinar,,,,wɔj,wɔj,wᴐy,wɔj,wᴐy,wɔj
tie,Amarrar,da̰:p da:b,,,dâb,dâ:b,,,tabm,tabm
rest/be put on (something),Amontoar,,,,wôb,wʔô:b,NF,wuʔwô:bm,woobm,wʔobm
go out,Apagar,du:k dug,du:g,,dɔ̌k,dɔ̌:k,ndʼᴐ́k,dʼɔ̰̌:k,ndᴐᴐk,dʼɔ̰k
appear,Aparecer,,,,hadn,hadn,,bahadn,wahadn,
rot,Apodrecer,ʔaʃʌ̰:ʃ ʔaʃa:ɟ,ʔaʃa:j ʔaʃa:ɟ,,,,,,,
rot,Apodrecer2,,,,dɔx,,ndʼᴐ́h,,ndᴐᴐh,
warm up,Aquecer,,,,,kʼɨ̰ʔ,NF,kʼɨ̰̂ʔ,kɨʔ,kʼɨ̰ʔ
pull out,Arrancar 1,ʔakʼ o̰:ʔ ʔakʼ o:ʔ,kʼ o:ʔ,,,,kᴐʔ,kʼ ɔ̰̌:ʔ,kᴐᴐʔ,kʼ ɔ̰ʔ
pull out,Arrancar 2,,,,wɔc,wɔc,NF,wɔc,NF,
scratch,Arranhar,kuʃ kuɟ,,,xôj,xô:ɟ,kój,koʲɟɲ,hɨ kĩit,
pull; drag,Arrastar,takɨg takɨg,takɨg,,xə̌k,xә̌:k,NC,,kәk hɨ̃k,kәgŋ
roast,Assar,jʌʔ jә:ʔ,,,jaʔ,jaʔ,yɛ̃ʔ,jɛ̃ʔ,yɛ̃ʔ,jɛ̃ʔ
whistle,Assobiar,hɔ̃:ɲ hɔ̃:j̃ hɔ̰̃:ɲ,hɔ̃:j̃,,hɔ̃̌y,hɔ̃̌:j̃,,pɔ̃hɔ̃̂: j̃,pᴐ̃hᴐy,pɔ̃hɔ̃ j̃
throw,Atirar,bo:h boh,bo:h,,bux,bux,mbʼuy,bʼṵ,mbuuh,bʼṵh
drool,Babar 1,nãɾe:h,nãɾe:h,,,,NF,,NF,
drool,Babar 2,,,,,,NF,nɔ̃hʃǎ:w,nᴐhsáw,nɔcaw
swing,Balançar,,,,jǒj’,jǒ:jʔ,yᴐ́yʔ,jǒ:jʔ,yoyʔ,jojʔ
bathe; swim,Banhar,cʼɔbm,cʼɔbm,acᴐbm,cɔbm,cʼɔbm,sʼᴐ́m,cʼɔ̰̌̃:m,sᴐ̃ᴐm,cʼɔ̰̃m
noise,Barulho,,,,,,hᴐ̃̀h,hɔ̃̌:h,hᴐ̃hᴐh huh,hɔ̃̌:h
drink,Beber,ʔә:k ʔә:gŋ,ʔɨgŋ,e?:k,ʔəg,ʔәg,әgŋ,ʔәgŋ,әg,ʔәgŋ
kiss,Beijar,cʼu:p cʼu:b,cʼu:b,,cũ̌ɲ’,cʼũ̌:ɲʔ,sʼṹp,cʼṵ̃p,sũup,cʼṵ̃p
pinch,Beliscar 1,waʃi:ʔ ʃḭ:ʔ,ʃḭ:h ʃi:h,,,,NF,,NF,
pinch,Beliscar 2,,,,ʃîb,ʃî:b,tímʔ símʔ,cĩ̌:mʔ,sĩim’,cĩmʔ
yawn,Bocejar 1,habm haw,habm,no:kehabm,,,NF,,NF,
yawn,Bocejar 2,,,,nɔ̃hkâ,nɔ̃hkʼǎ̰:ʔ,nᴐhʼká,nɔ̃hkʼǎ̰:ʔ,nᴐh ka,nɔ̃hkʼa̰h
fight,Brigar,ʔo:bm,,eo:bm,ʔũ̂m bateɾ,ʔũ̂:m,ũhm ɛ́h,ʔũhm ɛ̃h,ũhũm,ʔũm
shine; be bright,Brilhar,bag,bag,,bɛ̂g,bɛʔ bɛ̂:g,mbʼagŋ,bʼa̰gŋ,mbɛɛ ʔ,bʼa̰ʔ
fetch water,Buscar agua,kʼɔp kʼɔb,kʼɔp kʼɔb,,kɔp,kʼɔp,kʼᴐ́p,kʼɔ̰p,ka ʔ kᴐᴐp,kʼɔ̰p
fall,Cair,,,,nɔ̃x,nɔ̃x,nᴐ́h,nɔ̃h,nᴐh hi,nɔ̃h
sing,Cantar,jʌ:bm jʌbm,jʌ:bm,ejʌbm,jãm hɨ̃h,jãm,yam,jãm,yãm,jãm
cut weeds,Capinar,ʃok  ʃog,ʃog,asok,ʃɛ̃ʃ,,sɛ̃́ç,,sәk,cәk
carry (on back?),Carregar,ʃә:t ʃә̰:d,ʃә:d,asә:t,ʃět,ʃě:t,sét,cě:t,set,cet
call,Chamar,ʔә:ɟɲ ʔә:j,ʔә:j,naә:ɟɲ,ʔəj,ʔәj,ey,ʔej,ey,ʔej
meet; encounter,Chegar; encontrar,wɨt,wɨt,,wɨ̂d,wɨd,wɨdn,wɨdn,wɨt,wɨt
fill up,Cheirar,hɨ̃:k hʌ̃g,hã:kŋ,macehɨ̃ɨ̃k,ʔɨ̃̌k,ʔɨ̃̌:k ,NF,,NF,
cry,Chorar,ʔo:t ʔɔd,ʔɔd ʔo:t,ao:t,ʔɔ̃̌t,ʔɔ̃̌:t,ᴐ́t,ʔɔt,ᴐtᴐ̃t,ʔɔt
kick,Chutar,da:ʃ daɟ,da:ʃ daɟ,,dɛɟ,dɛɟ,tás,tac,tas,tac
itch,Coçar 1,cʼu:k cʼug,cʼu:g,acu:k,cǔk,cʼǔ:k,,cʼuk,suuk,cʼuk
itch,Coçar 2,ʃɨ̰:t ʃɨ:d, ,,ʃîd,ʃĩnʔ,,,?,
put onto,Colocar,,,,w’ôb,w̰ob,wʼobm,w̰obm,wobm,wobm
eat,Comer 1,wә:h,wɨ:h,awәh,,,,,,
eat,Comer 2,,,,wɛ̂d,wɛ̂:d,,wɛ̌:dn,wɛdn,wɛdn
run,Correr,,,,ʔɔx,ʔɔx,,to ʼʔoh,,t ʼô̰:h
cut (hack),Cortar 1,,,,tɛʃ,tě:ʃ,,,,tәjʰ
cut (saw),Cortar 2,kʼahɔ̃k kʼahɔ̃g ʔahɔ̃k,hɔ̃:kŋ hɔ̃g,gehõk,hɔ̃k,hɔ̃̌:k,hᴐ̃́k,hɔ̃̌:k,hᴐ̃k,hɔ̃k
sew,Costurar,ʃu:h ʃugŋ,ʃu:h ʃugŋ,,,,suh,cuh,suh,cuh
cook,Cozinhar,,,,,,taʼasáw,cʼɨ̂:w,sᴐ̃hᴐ́m,cʼɨw
grow,Crescer 1,,,,pegʃǎk,,sap,cap,sap,cap
take care of,Cuidar,,,,hũjwəj’,,,hikej,key,kej
spit,Cuspir,cʼo: ʃ cʼɔ ʃ,cʼɔ: ʃ,,cɔ̌ʃ,cʼɔ̌: ʃ,,cʼɔ̌: ç,,cʼɔ̌:jʰ
poke,Cutucar,tatuk tatug,tug,,,,,,,
dabucuri; dance,Dabucuri; dancar,jәbm jʌbm,jʌbm,jәbm,jabm,jabm,yám,jãm,,jãb
give,Dar,nɔ̃:ʔ nɔ̰̃:ʔ,,,nɔ̃̌ʔ,nɔ̃̌:ʔ,nᴐʔ,nɔ̃ʔ,nᴐ’,nɔ̃ʔ
defecate,Defecar,ja:ʔ,,jʼa:,jɛ̌ʔ,jɛ̌:ʔ,yɛʔ,ɲdʲɛʔ,yɛ’,jɛʔ
lie (on ground),Deitar 2,jat jad,,ajat,jɛt,jet,yɛt,jɛt,yɛt,jɛt
spill,Derramar,bɨ:h bɨh,bɨ:h bɨh,,bə̂ bəh,bәh bә̂:,mbʼәh,bʼә̰h,mbәәh,bʼә̰h
melt,Derreter,dɛ̃ʔ dɛ̃:ʔ,,,n’ɛ̃̂,n̰ʔɛ̃̂:,,,,
peel,Descascar,,,,ʃĩm’ wet manioc banana etc.,ʃĩ̌:mʔ,,cɨ̃̌:mʔ,sĩim’,cĩmʔ
peel,Descascar 1,kʼɔ̃p  kʼɔ̃b ,,,kob,kʼob,,kʼobm,,
peel,Descascar 2,ʃo:ʃ ʃo̰:j,ʃɔ̰:j,,,,,,,
say,Dizer,nʌ̃ŋ nʌ̃:,,,nã̂,nã̂:,nᴐh sàw,nɔ̃̂:,,
sleep,Dormir,ʔɨ̴:h ʔãh,ʔã:h,,ʔã̂,ʔã̂:,,ʔɔ̃h,ᴐ̃h,ʔɔ̃h
wrap up,Embrulhar,,cʼәʔ,,cəʔ,cʼәʔ,,cʼәʔ,,
push,Empurrar,,,,tuj,tû:j,,tɨ̂:j tû:,tɨy,tɨj
meet,Encontrar,wɨ̰:t wɨ:d,wɨ:d,,wɨ̂d,wɨ̂:d,,,,
thread on a string,Enfiar,ʃɨ:h ʃɨh,ʃɨ:h,,ʃɨg,ʃɨg,,cĩŋʔ,,
choke,Engasgar,ga̰:k,ga:g,,kã̌k,kã̌k,kãk,kʔãk,kãak,kʔãk
crawl,Engatinhar,kʼ a̰:k kʼag,kʼa:g,,,kʼã̌:k,,kʼã̰k,,kʼãk
slip,Escorregar,cʼadup cʼadub,cʼadub,,,,,,,
write,Escrever,hɨ:ʔ hɨʔ,,,,,hɨ̀ʔ,hɨʔ,hɨ’,hɨʔ
scour,Esfregar 1,wu:k wug,,,wug,wug,,hĩ:kɨ̃k,hɨ̃k,hɨ̃k
scour,Esfregar 2,cʼu:k  cʼug ,cʼu:g ,acu:k,cǔk,cʼǔ:k ,,,suuk,cʼuk
wait,Esperar 1,cʼadaʔ cʼada:ʔ,cʼada:ʔ,,dɛʔ,dɛʔ,,,,
wait,Esperar 2,,,,,,,jû:,yuh,juʔ
squeeze manioc 1,Espremer mandioca,jugŋ ju:h,jugŋ,,,,,,,
squeeze manioc 2,Espremer mandioca,kʼawo:ʔ kʼawo̰:ʔ,,,w’ǒʔ,w̰ǒ:ʔ,koʼwowʔ,kʼow̰oʔ,,
tickle,Fazer cocegas,ʃɨ̰:t ʃɨ:d,,,ʃîd,ʃî:d,sisídn,cicî:dn,sisidn,cicidn
have sex,Fazer sexo,,,,ʔãn,ʔãn,an,ʔãn,,ʔãn
stink,Feder,,,,dɔx,dɔx,,dʼɔ̰h,ndᴐᴐh,dʼɔ̰h
stay,Ficar,,,,,tû:,túh,tuh,tu,tuh
flatulate,Flatulencia,du:ʃ duʃ,cʼɨʃ,,tɔʃ,tɔʃ,tᴐ́ç,tɔç,,tɔ̂:jʰ
shoot with arrow,Flechar,,,,kĩɲ,kʼḭ̃ɲ,kʼí,kʼigŋ,,kʼigŋ
focus?,Focar,hʌ̃:j hʌ̃:ɲ,hã:j̃,,hɔ̃j,hɔ̃̂:j̃,,,,hãj̃
smoke,Fumar,ʔahũ:t ʔahũ:d,ʔahũ:d,,ʔũn’,ʔũn̰ʔ,unʔ,ʔũn̰ʔ,ũn’,ʔũn̰ʔ
fill,Inchar,puh pu:h,pu:h,dapu:h,pux,,puhú,puhû:,puhu,puh
go,Ir,hṵ̃:m hãm,hã:m,ahõbm,hãm,hã̂:m,ham,hã̂:m,hãm,hãm
lick,Lamber,dɛ̃:p dɛ̃:b,nɛ̃:b,,nɛ̃̌p,n̰ɛ̃p,n’ɛm’,nʔɛ̃mʔ,,
wash,Lavar,cʼɨ̰:t cʼɨ̰:d,cʼɨ̰:d,,cid,cʼid,,cʼidn ,siidn,cʼidn
sharpen?,Lavrar,ʃәk ʃәg,ʃәg,asәk,ʃək,ʃәk,sʼɨgŋ,cәgn,sәk,cәk 
chew,Mastigar,waʔ ʔawa̰:ʔ,ʔa wa̰:ʔ,je wa,ʔaw’,ʔa waʔ,yaʼawʔ,ʔʔa̰wʔ,,
tell lie,Mentir,,,,tɨ̌x,tɨ̌:x,tɨh,tɨh,,
submerge,Mergulhar,hop hob,hob,,hop,hop,hóp,hop,hop,hop
ask for,Pedir 1,cʼɛ̃:ʔ cʼɛ̰̃:ʔ,cʼɛ̰̃:h,,,,,,,
ask for,Pedir 2,,,,ʔã̌x,,,ʔǐ:h,ih,ʔih
hang; suspend,Pendurar 1,dʌk dʌg,dʌg,,dak,dak,,dʼak,,
hang; suspend,Pendurar 2,,,,kaʔ,kʼaʔ,,kʼãʔ,,kʼãʔ
pound with pestle,Pilar,to:k tog,tog,eto:k,tǒk,tok,tók,tok,tok,tok
plant,Plantar,jo:bm,jo:bm,ejo:bm,jũ̌m,jũ̌:m,yum,jũ̌:m,yũm,jũm
jump,Pular,cʼәk,cʼәg,,cək,cʼәk,,cʼә̰k,sәәk,cʼә̰k
pull,Puxar,hә:k hәg,kɨg,,xə̌k,xәk,kәk,kәk,kәk,kәk
burn,Queimar,hɔ̃h hɔ̃:h,hɔ̃:h,,hɔ̃̂,hɔ̃̂:,hᴐ̃́,hɔ̃̂:,hᴐ̃,hɔ̃:
want,Querer,,,,tuk,tuk ,tút,tuk ,tuk,tuk 
split,Rachar,,,,,,,pobm,pobm,pobm
grate,Ralar,hʌ̃p hʌ̃b,hãb,ehʌ̃p,hɨ̃p,hɨ̃p,hɨ̃p,hɨ̃p,hɨ̃p,hɨ̃p
scratch,Rasgar 1,ʃɛ̃:t ʃɛ̰̃:d,ʃɛ̰̃:d,kasẽ:t,,,,,,
scratch,Rasgar 2,,,,,,,cɛ̌̃:wʔ,sɛ̃w’,cɛ̃w̰ʔ
scrape,Raspar 1,hap,hab,,xɛp,xɛp,,hap,,
scrape,Raspar 2,,,,,,,hɛw,hɛw,hɛw
paddle,Remar 1,ʔahәʔ hә:ʔ,ʔahәʔ,hә:,,,,,,
paddle,Remar 2,,,,xɛ̃̌ʔ,xɛ̃̌:ʔ,,hɛ̃j̰̃ʔ,hɛ̃y’,hɛ̃j̰̃ʔ
breathe,Respirar,,hãg,,hɛ̃g ʃɔʔ,hɛg ʃɔʔ,hãg,hãŋ,hãg,hãŋ
clear brush/trees,Roçar 2,,,,,,,bʼɔ̰t,,bʼɔ̰t
snore,Roncar,hṵ̃:k hṵ̃:g,hɔ̃:g,,xɔ̃̌k,xɔ̃̌:k,,hũ̌:k,tũhuk,hũk
steal,Roubar,cʼә̰:k cʼә:g,cʼә̰:kŋ,ecʼә:k,cə̌k,cʼә̌:k,,cʼḛk,sʼek,cʼḛj
miss (someone; something),Saudade,kʼʌ:bm,kʼa:bm,,,,,,,
dry,Secar 1,,,,xɔ̌p,xɔp ,,hɔp,,hɔp
dry,Secar 2,wo:ɟ wo:j,wo:j,hawo:ɟɲ,,,,,,
hold,Segurar,tɔdn,,,tɔdn,tɔdn,,,,­
sit,Sentar,,,,pɛ̂bm,pɛ̂:bm,pɛ́m,pɛ̃m,pɛ̃m,pɛ̃m
hiccup,Soluçar,,,,,,sәbәk,ʃәbʼә̰k,mbәәk,bʼә̰k
blow,Soprar 1,hu:h,,,,xǔ:ʔ,,,,
