gloss_en,gloss_pt,ndb_rc_m05,ndb_rn_m05,ndb_rc_eppsob,daw_eppsob,daw_m05,hup_ramepps,hup_m05,yhp_silva,yhp_m05
frog (sp.),rã (sp.) (Leptodactylus sp.),jәgŋ,jәkŋ,,jəx,jəx,,jәx,,
porcupine,cuandu 2 (porco-espinho) (fam. dos bufonídeos),,,,pǔg,pû:g,pùgŋ,pû:gŋ,púg,pû:gŋ
green acouchi,cutiuaia 2 (Myoprocta pratti),mãbәgŋ,wәbәgŋ,mabәgŋ,,,,,,
Eastern lowland olingo (Bassaricyon alleni),Jupará,wac ʼ ɔ̃g,wɔ̃hc ʼ ɔ̃g,,cɔ̃k,c ʼ ɔ̰̃k,wᴐ̃hsᴐ̃́k,wɔ̃hcɔ̰̃k,,
otter (Pteronura brasiliensis),Lontra,ʔajo̰:g,ʔajɔ̰:g,ajʼo:g,j’ɔ̌k,ʔjɔ̌:k,,dʲɔkpǒ:gŋ,yᴐk,jɔ̂:k
howler monkey (Alouatta seniculus),Macaco-guariba,,,,tûg,tû:g,tùgŋ,tǔ:gŋ,túg,tû:gŋ
collared titi monkey (Callicebus torquatus),Macaco zogue-zogue,k ʼ ṵ:k,k ʼ o̰:kŋ,,kôg,k ʼ ô̰:g,kʼògŋ,k ʼ ô̰:gŋ,koóg,k ʼ ô̰gŋ
giant anteater (Myrmecophaga tridactyla),Tamandua 2,mɨgŋ,mbɨ̌:gŋ,,mbɨg apelido do tamandua,mbɨ̌:gŋ,,,,
fat; grease,Gordura 1,,,,nɛ̃g,nɛ̃g,,nã̌:ŋ,nag,nã̌:ŋ
hummingbird (familia dos troquilideos),Beija-flor 2,,,,ʃug,ʃug,súgŋ,cu:gŋ,sug,cǔ:gŋ
harpy eagle?; hawk (Harpia harpyja),Gaviao-real,wi:ʔ,wi:h,wawi:,wǐh,wǐ h,wihpògŋ,wǐ h pǒg,wíh,wî h
nest,Ninho,mã:g,mã:g,,mbeʔ,,,,,
lower,Abaixar,hɨgŋ hɨ:h,hɨgŋ,,xɨ̂,xɨ̂:,hí,hî:,hi,hi
open,Abrir 2,je:ɟɲ jḛ:j,,,jǐc pull apaɾt wovedn thing,jɛɟ,sódn,,hah,
light (fire),Acender 2,tagŋ ta:h,ta:h,,,,tә́ʔ,,ta:ʔ,
smooth,Alisar,hawә:k,hawʌg,,,,NC wádn wɨ́m,hәk,NC yãh wɨ̃m,
tie,Amarrar,da̰:p da:b,,,dâb mbend e.g. atuɾá kək tie idn geneɾal,dâ:b,sʼɨ́p wʼɨ́t,,tabm,tabm
go out,Apagar,du:k dug,du:g,,dɔ̌k,dɔ̌:k,ndʼᴐ́k,dʼɔ̰̌:k,ndᴐᴐk,dʼɔ̰k
pull; drag,Arrastar,takɨg takɨg,takɨg,,xə̌k,xә̌:k,NC ndóy,,kәk hɨ̃k,kәgŋ
whistle,Assobiar,hɔ̃:ɲ hɔ̃:j̃ hɔ̰̃:ɲ,hɔ̃:j̃,,hɔ̃̌y,hɔ̃̌:j̃,pùgŋ,pɔ̃hɔ̃̂: j̃,pĩgpᴐ̃hᴐy,pɔ̃hɔ̃ j̃
drink,Beber,ʔә:k ʔә:gŋ,ʔɨgŋ,e?:k,ʔəg,ʔәg,әgŋ,ʔәgŋ,әg,ʔәgŋ
shine; be bright,Brilhar,bag,bag,,bɛ̂g,bɛʔ bɛ̂:g,mbʼagŋ,bʼa̰gŋ,mbɛɛ ʔ,bʼa̰ʔ
cut weeds,Capinar,ʃok  ʃog,ʃog,,ʃɛ̃ʃ,,sɛ̃́ç,,sәk,cәk
fill up,Cheirar,hɨ̃:k hʌ̃g,hã:kŋ,macehɨ̃ɨ̃k,ʔɨ̃̌k,ʔɨ̃̌:k ,NF,,NF,
itch,Coçar 1,c ʼ u:k c ʼ ug,c ʼ u:g,acu:k,cǔk,c ʼ ǔ:k,ko kój,c ʼ uk,suuk,c ʼ uk
cut (saw),Cortar 2,k ʼ ahɔ̃k k ʼ ahɔ̃g ʔahɔ̃kk ʼ akɨd,hɔ̃:kŋ hɔ̃g,gehõk,hɔ̃k saw,hɔ̃̌:k,hᴐ̃́k,hɔ̃̌:k,hᴐ̃k,hɔ̃k
sew,Costurar,ʃu:h ʃugŋ,ʃu:h ʃugŋ,,tɨ̃̌m’,,suh,cuh,suh,cuh
grow,Crescer 1,,,,peg ʃǎk,,sap,cap,sap,cap
poke,Cutucar,tatuk tatug,tug,,,,,,,
thread on a string,Enfiar,ʃɨ:h ʃɨh,ʃɨ:h,,ʃɨg,ʃɨg,,cĩŋʔ,,
choke,Engasgar,ga̰:k,ga:g,,kã̌k,kã̌k,kãk,kʔãk,kãak,kʔãk
crawl,Engatinhar,kʼ a̰:k k ʼ ag,k ʼ a:g,,ndôy,k ʼ ã̌:k,,k ʼ ã̰k,,k ʼ ãk
scour,Esfregar 1,wu:k wug,,,wug,wug,,hĩ:kɨ̃k,hɨ̃k,hɨ̃k
scour,Esfregar 2,c ʼ u:k  c ʼ ug ,c ʼ u:g ,acu:k,cǔk coçaɾ,c ʼ ǔ:k ,,,suuk,c ʼ uk
squeeze manioc 1,Espremer mandioca,jugŋ ju:h,jugŋ,,,,,,,
shoot with arrow,Flechar,,,,kĩɲ,k ʼ ḭ̃ɲ,kʼí,k ʼ igŋ,,k ʼ igŋ
sharpen?,Lavrar,ʃәk ʃәg,ʃәg,asәk,ʃək,ʃәk,sʼɨgŋ,cәgn,sәk,cәk 
hang; suspend,Pendurar 1,dʌk dʌg,dʌg,,dak stick against,dak,,dʼak,,
hang; suspend,Pendurar 2,,,,kaʔ hang,k ʼ aʔ,,k ʼ ãʔ,,k ʼ ãʔ
pound with pestle,Pilar,to:k tog,tog,ji eto:k do:,tǒk,tok,tók,tok,tok,tok
jump,Pular,c ʼ әk,c ʼ әg,,cək cf. cə̌k ‘ɾoubaɾ’,c ʼ әk,,c ʼ ә̰k,sәәk,c ʼ ә̰k
pull,Puxar,hә:k hәg,kɨg,,xə̌k,xәk,kәk,kәk,kәk,kәk
breathe,Respirar,,hãg,,hɛ̃gʃɔʔ,hɛgʃɔʔ,hãg,hãŋ,hãg,hãŋ
snore,Roncar,hṵ̃:k hṵ̃:g,hɔ̃:g,,xɔ̃̌k,xɔ̃̌:k,,hũ̌:k,tũhuk,hũk
